bedingung,schicht,kopf,delta,p,signifikant_bh
B2,0,4,-0.000140,0.847153,0
B2,0,5,-0.000024,0.577423,0
B2,0,6,0.000306,0.229770,0
B2,0,7,0.000138,0.238761,0
B2,0,8,-0.000153,0.580420,0
B2,0,9,-0.000468,0.877123,0
B2,0,10,-0.000056,0.558442,0
B2,0,11,-0.001823,0.973027,0
B2,1,0,-0.000335,0.719281,0
B2,1,1,-0.000378,0.732268,0
B2,1,2,-0.000141,0.878122,0
B2,1,3,-0.002056,0.992008,0
B2,1,4,-0.000335,0.726274,0
B2,1,5,-0.000724,0.652348,0
B2,1,6,0.001473,0.211788,0
B2,1,7,-0.000493,0.644356,0
B2,1,8,0.000486,0.307692,0
B2,1,9,0.001117,0.202797,0
B2,1,10,-0.000050,0.903097,0
B2,1,11,-0.000255,0.789211,0
B2,2,0,-0.000790,0.659341,0
B2,2,1,-0.005622,0.659341,0
B2,2,2,0.001152,0.319680,0
B2,2,3,-0.001079,0.771229,0
B2,2,4,0.000359,0.472527,0
B2,2,5,0.000601,0.355644,0
B2,2,6,-0.002337,0.703297,0
B2,2,7,0.000018,0.478521,0
B2,2,8,-0.000509,0.604396,0
B2,2,9,-0.000520,0.624376,0
B2,2,10,-0.000768,0.990010,0
B2,2,11,0.000720,0.269730,0
B2,3,0,0.000899,0.446553,0
B2,3,1,-0.000752,0.529471,0
B2,3,2,0.002116,0.314685,0
B2,3,3,0.004523,0.332667,0
B2,3,4,-0.000573,0.525475,0
B2,3,5,0.000705,0.455544,0
B2,3,6,0.000054,0.476523,0
B2,3,7,0.001940,0.354645,0
B2,3,8,0.003934,0.152847,0
B2,3,9,0.003314,0.366633,0
B2,3,10,0.002118,0.237762,0
B2,3,11,0.002763,0.237762,0
B2,4,0,-0.000585,0.574426,0
B2,4,1,0.002663,0.382617,0
B2,4,2,0.003356,0.376623,0
B2,4,3,-0.003672,0.709291,0
B2,4,4,0.004754,0.258741,0
B2,4,5,-0.002932,0.605395,0
B2,4,6,0.000739,0.433566,0
B2,4,7,-0.000172,0.491508,0
B2,4,8,-0.000741,0.556444,0
B2,4,9,0.001423,0.445554,0
B2,4,10,-0.000335,0.525475,0
B2,4,11,0.000000,0.230769,0
B2,5,0,-0.001604,0.554446,0
B2,5,1,-0.002195,0.557443,0
B2,5,2,-0.006250,0.720280,0
B2,5,3,-0.010315,0.848152,0
B2,5,4,-0.003824,0.692308,0
B2,5,5,0.001455,0.476523,0
B2,5,6,0.001210,0.430569,0
B2,5,7,0.005808,0.233766,0
B2,5,8,0.005973,0.164835,0
B2,5,9,-0.004781,0.708292,0
B2,5,10,0.009019,0.164835,0
B2,5,11,-0.001073,0.551449,0
B2,6,0,-0.006998,0.789211,0
B2,6,1,0.004448,0.384615,0
B2,6,2,0.001882,0.397602,0
B2,6,3,-0.003987,0.706294,0
B2,6,4,0.002824,0.430569,0
B2,6,5,-0.004071,0.765235,0
B2,6,6,0.002038,0.422577,0
B2,6,7,-0.006695,0.818182,0
B2,6,8,-0.009291,0.797203,0
B2,6,9,-0.004184,0.616384,0
B2,6,10,-0.007210,0.744256,0
B2,6,11,-0.002970,0.613387,0
B2,7,0,-0.008281,0.691309,0
B2,7,1,-0.003936,0.582418,0
B2,7,2,-0.006853,0.719281,0
B2,7,3,0.004363,0.345654,0
B2,7,4,-0.002916,0.733267,0
B2,7,5,-0.001509,0.552448,0
B2,7,6,-0.009610,0.825175,0
B2,7,7,-0.003883,0.564436,0
B2,7,8,-0.002908,0.657343,0
B2,7,9,-0.000231,0.534466,0
B2,7,10,-0.002323,0.531469,0
B2,7,11,0.003458,0.343656,0
B2,8,0,0.004737,0.238761,0
B2,8,1,-0.006873,0.668332,0
B2,8,2,0.006922,0.335664,0
B2,8,3,0.002648,0.441558,0
B2,8,4,-0.003997,0.639361,0
B2,8,5,-0.007030,0.743257,0
B2,8,6,0.000075,0.478521,0
B2,8,7,-0.008159,0.755245,0
B2,8,8,-0.003982,0.570430,0
B2,8,9,-0.009619,0.745255,0
B2,8,10,0.005688,0.272727,0
B2,8,11,0.000573,0.490509,0
B2,9,0,-0.002015,0.522478,0
B2,9,1,-0.007774,0.763237,0
B2,9,2,0.002831,0.448551,0
B2,9,3,-0.006220,0.743257,0
B2,9,4,-0.002241,0.593407,0
B2,9,5,-0.001811,0.564436,0
B2,9,6,-0.001273,0.542458,0
B2,9,7,0.006246,0.300699,0
B2,9,8,-0.003564,0.571429,0
B2,9,9,-0.003340,0.586414,0
B2,9,10,-0.001480,0.551449,0
B2,9,11,0.005404,0.303696,0
B2,10,0,0.008628,0.286713,0
B2,10,1,-0.003934,0.613387,0
