bedingung,schicht,kopf,delta,p,signifikant_bh
B2,0,4,0.000037,0.160168,0
B2,0,5,-0.001441,0.860228,0
B2,0,6,-0.001351,0.991602,0
B2,0,7,-0.001515,0.993601,0
B2,0,8,-0.000142,0.967606,0
B2,0,9,-0.000310,0.910018,0
B2,0,10,-0.001025,0.977005,0
B2,0,11,0.001784,0.125575,0
B2,1,0,0.000013,0.485303,0
B2,1,1,-0.002734,0.939012,0
B2,1,2,-0.000019,0.939412,0
B2,1,3,-0.000078,0.595281,0
B2,1,4,-0.000024,0.484303,0
B2,1,5,-0.000223,0.730654,0
B2,1,6,-0.002070,0.998400,0
B2,1,7,-0.000166,0.996001,0
B2,1,8,0.000336,0.399320,0
B2,1,9,0.000351,0.411718,0
B2,1,10,-0.000354,0.537293,0
B2,1,11,-0.000311,0.981604,0
B2,2,0,-0.001331,0.676465,0
B2,2,1,-0.000837,0.648270,0
B2,2,2,-0.001963,0.760648,0
B2,2,3,-0.001074,0.728254,0
B2,2,4,-0.000264,0.577285,0
B2,2,5,-0.003277,0.909018,0
B2,2,6,-0.000436,0.616277,0
B2,2,7,0.000665,0.275545,0
B2,2,8,0.000101,0.012797,0
B2,2,9,-0.003549,0.963007,0
B2,2,10,0.002364,0.131774,0
B2,2,11,-0.002554,0.896221,0
B2,3,0,0.000005,0.483903,0
B2,3,1,-0.000683,0.995401,0
B2,3,2,-0.000005,0.586483,0
B2,3,3,0.000164,0.008798,0
B2,3,4,0.000000,0.505299,0
B2,3,5,-0.002678,0.812438,0
B2,3,6,-0.001268,0.835033,0
B2,3,7,0.001742,0.137373,0
B2,3,8,-0.000527,0.740252,0
B2,3,9,-0.004422,0.996001,0
B2,3,10,-0.001067,0.846231,0
B2,3,11,-0.000513,0.664867,0
B2,4,0,-0.007576,0.991602,0
B2,4,1,-0.000077,0.512897,0
B2,4,2,-0.005234,0.959208,0
B2,4,3,-0.001571,0.999000,0
B2,4,4,-0.006515,0.971006,0
B2,4,5,-0.002664,0.955009,0
B2,4,6,0.004722,0.154369,0
B2,4,7,-0.003484,0.990802,0
B2,4,8,-0.003267,0.828634,0
B2,4,9,-0.003909,0.923215,0
B2,4,10,-0.012970,0.986803,0
B2,4,11,-0.000454,0.553689,0
B2,5,0,-0.004096,0.871826,0
B2,5,1,-0.004096,0.992002,0
B2,5,2,-0.001200,0.614877,0
B2,5,3,-0.004538,0.882823,0
B2,5,4,-0.005938,0.936613,0
B2,5,5,0.005434,0.003799,0
B2,5,6,-0.014146,0.994001,0
B2,5,7,-0.006261,0.930014,0
B2,5,8,-0.004027,0.964407,0
B2,5,9,-0.010957,0.995601,0
B2,5,10,-0.002854,0.781644,0
B2,5,11,-0.002743,0.869826,0
B2,6,0,-0.000884,0.638272,0
B2,6,1,-0.004813,0.928814,0
B2,6,2,-0.003131,0.799840,0
B2,6,3,0.001000,0.329334,0
B2,6,4,-0.007948,0.997001,0
B2,6,5,-0.004806,0.962208,0
B2,6,6,-0.005155,0.900420,0
B2,6,7,-0.001641,0.738052,0
B2,6,8,-0.003821,0.932414,0
B2,6,9,-0.009884,0.955209,0
B2,6,10,-0.005032,0.889822,0
B2,6,11,-0.004563,0.868426,0
B2,7,0,-0.010078,0.998800,0
B2,7,1,-0.008706,0.997401,0
B2,7,2,0.001369,0.386523,0
B2,7,3,-0.004589,0.808438,0
B2,7,4,-0.003474,0.954609,0
B2,7,5,0.010058,0.054589,0
B2,7,6,-0.011096,0.961608,0
B2,7,7,-0.004003,0.992002,0
B2,7,8,-0.000148,0.530294,0
B2,7,9,-0.014499,0.985003,0
B2,7,10,-0.004625,0.912617,0
B2,7,11,0.001264,0.355929,0
B2,8,0,-0.006269,0.959608,0
B2,8,1,-0.005450,0.930614,0
B2,8,2,0.007340,0.088782,0
B2,8,3,0.009082,0.136373,0
B2,8,4,-0.003391,0.973005,0
B2,8,5,-0.002676,0.704859,0
B2,8,6,-0.017411,0.995601,0
B2,8,7,-0.003346,0.929414,0
B2,8,8,0.021931,0.000600,0
B2,8,9,-0.016107,0.996001,0
B2,8,10,0.006733,0.077385,0
B2,8,11,0.004236,0.200760,0
B2,9,0,-0.014709,0.984203,0
B2,9,1,-0.004186,0.768846,0
B2,9,2,0.018910,0.002200,0
B2,9,3,-0.001565,0.908618,0
B2,9,4,0.020818,0.006799,0
B2,9,5,0.001083,0.439512,0
B2,9,6,0.010889,0.046791,0
B2,9,7,0.007538,0.105379,0
B2,9,8,0.004034,0.228554,0
B2,9,9,0.008537,0.117976,0
B2,9,10,-0.007766,0.866627,0
B2,9,11,-0.012589,0.963007,0
B2,10,0,0.015015,0.021396,0
B2,10,1,-0.004700,0.896221,0
B2,10,2,0.016121,0.079584,0
B2,10,3,0.009096,0.153969,0
B2,10,4,0.003079,0.378324,0
B2,10,5,0.000035,0.099180,0
B2,10,6,0.010073,0.135373,0
B2,10,7,0.010531,0.090782,0
B2,10,8,0.008319,0.195961,0
B2,10,9,-0.007124,0.991002,0
B2,10,10,0.014158,0.072585,0
B2,10,11,0.016266,0.031394,0
B2,11,0,-0.006364,0.975605,0
B2,11,1,0.015515,0.001200,0
B2,11,2,-0.010243,0.989802,0
B2,11,3,-0.015882,0.997800,0
B2,11,4,-0.005926,0.854629,0
B2,11,5,-0.007729,0.993801,0
B2,11,6,-0.003862,0.997401,0
B2,11,7,-0.014142,0.999600,0
B2,11,8,-0.002146,0.687463,0
B2,11,9,-0.005406,0.990802,0
B2,11,10,-0.004324,0.822436,0
B2,11,11,-0.004238,0.996401,0
C,0,0,-0.000006,0.492701,0
C,0,1,0.001667,0.002799,1
C,0,2,-0.000012,0.571286,0
C,0,3,-0.000162,0.883223,0
C,0,4,0.000081,0.019596,0
C,0,5,-0.000529,0.671866,0
C,0,6,-0.001237,0.992402,0
C,0,7,0.001431,0.010198,1
C,0,8,-0.000082,0.844831,0
C,0,9,-0.000020,0.540092,0
C,0,10,-0.001086,0.990602,0
C,0,11,0.005216,0.000400,1
C,1,0,0.000369,0.098780,0
C,1,1,-0.003728,0.992202,0
C,1,2,-0.000006,0.684463,0
C,1,3,-0.000435,0.915817,0
C,1,4,-0.012973,1.000000,0
C,1,5,-0.001324,1.000000,0
C,1,6,-0.002946,1.000000,0
C,1,7,-0.000189,0.998800,0
C,1,8,0.004576,0.000200,1
C,1,9,0.002868,0.014397,0
C,1,10,0.066686,0.000200,1
C,1,11,-0.000623,1.000000,0
C,2,0,0.001109,0.316937,0
C,2,1,0.000638,0.364727,0
C,2,2,-0.005919,0.995601,0
C,2,3,-0.007185,1.000000,0
C,2,4,0.015310,0.000200,1
C,2,5,-0.010115,1.000000,0
C,2,6,0.009665,0.000200,1
C,2,7,-0.002758,0.998000,0
C,2,8,0.000080,0.040392,0
C,2,9,-0.003192,0.969406,0
C,2,10,0.014239,0.000200,1
C,2,11,-0.005131,0.999000,0
C,3,0,-0.000008,0.525495,0
C,3,1,-0.001084,1.000000,0
C,3,2,0.000029,0.110778,0
C,3,3,0.000070,0.139572,0
C,3,4,0.000166,0.008398,1
C,3,5,-0.017590,1.000000,0
C,3,6,0.001432,0.099380,0
C,3,7,0.016435,0.000200,1
C,3,8,0.002100,0.001400,1
C,3,9,-0.009108,1.000000,0
C,3,10,-0.004889,1.000000,0
C,3,11,-0.005774,1.000000,0
C,4,0,-0.013409,1.000000,0
C,4,1,0.013248,0.000200,1
C,4,2,-0.005276,0.976605,0
C,4,3,-0.000666,0.883023,0
C,4,4,-0.009397,1.000000,0
C,4,5,-0.001535,0.872625,0
C,4,6,0.112926,0.000200,1
C,4,7,-0.002360,0.964207,0
C,4,8,0.012373,0.000200,1
C,4,9,-0.029403,1.000000,0
C,4,10,-0.021442,1.000000,0
C,4,11,0.037943,0.000200,1
