bedingung,schicht,kopf,delta,p,signifikant_bh
B2,0,4,-0.000223,1.000000,0
B2,0,5,-0.005351,0.999800,0
B2,0,6,-0.000972,0.995001,0
B2,0,7,-0.002257,1.000000,0
B2,0,8,-0.000337,1.000000,0
B2,0,9,-0.001245,1.000000,0
B2,0,10,-0.001566,0.997001,0
B2,0,11,0.005631,0.000600,1
B2,1,0,-0.000497,0.972406,0
B2,1,1,-0.002408,0.963407,0
B2,1,2,-0.000049,0.999600,0
B2,1,3,-0.001207,1.000000,0
B2,1,4,-0.004282,0.979404,0
B2,1,5,-0.000613,0.946611,0
B2,1,6,-0.000654,0.881024,0
B2,1,7,-0.000042,0.823635,0
B2,1,8,0.007045,0.000200,1
B2,1,9,0.002888,0.012797,0
B2,1,10,0.006550,0.010798,0
B2,1,11,-0.001419,1.000000,0
B2,2,0,-0.003296,0.934013,0
B2,2,1,-0.000529,0.629274,0
B2,2,2,-0.000158,0.534893,0
B2,2,3,0.000228,0.451510,0
B2,2,4,-0.000524,0.673265,0
B2,2,5,0.010419,0.000600,1
B2,2,6,-0.000839,0.704859,0
B2,2,7,0.002561,0.002799,1
B2,2,8,-0.000377,1.000000,0
B2,2,9,-0.003742,0.986203,0
B2,2,10,0.007636,0.000200,1
B2,2,11,0.000406,0.411718,0
B2,3,0,-0.000772,1.000000,0
B2,3,1,-0.002324,1.000000,0
B2,3,2,0.000021,0.172366,0
B2,3,3,-0.000122,0.939412,0
B2,3,4,0.000311,0.000200,1
B2,3,5,-0.010009,1.000000,0
B2,3,6,-0.005118,1.000000,0
B2,3,7,0.007330,0.000200,1
B2,3,8,-0.005376,1.000000,0
B2,3,9,-0.006157,1.000000,0
B2,3,10,-0.008154,1.000000,0
B2,3,11,0.007201,0.000200,1
B2,4,0,-0.012754,0.999400,0
B2,4,1,-0.000568,0.596881,0
B2,4,2,-0.000745,0.627874,0
B2,4,3,0.001270,0.001200,1
B2,4,4,-0.011957,1.000000,0
B2,4,5,-0.005391,0.993601,0
B2,4,6,-0.007317,0.946811,0
B2,4,7,-0.005780,1.000000,0
B2,4,8,-0.005137,0.961208,0
B2,4,9,-0.000836,0.628474,0
B2,4,10,-0.015928,0.999600,0
B2,4,11,-0.003829,0.880424,0
B2,5,0,-0.004341,0.928414,0
B2,5,1,-0.005742,1.000000,0
B2,5,2,-0.003763,0.917417,0
B2,5,3,-0.008388,0.994601,0
B2,5,4,-0.005407,0.963407,0
B2,5,5,0.002301,0.189362,0
B2,5,6,-0.012713,0.998800,0
B2,5,7,-0.008741,0.997001,0
B2,5,8,-0.003811,0.944811,0
B2,5,9,-0.011349,0.999600,0
B2,5,10,-0.007190,0.985003,0
B2,5,11,-0.006531,0.998600,0
B2,6,0,-0.009271,0.994201,0
B2,6,1,-0.007127,0.994401,0
B2,6,2,-0.016463,1.000000,0
B2,6,3,-0.008070,0.996601,0
B2,6,4,-0.017652,1.000000,0
B2,6,5,-0.010887,0.999600,0
B2,6,6,-0.009908,0.999200,0
B2,6,7,-0.006232,0.996201,0
B2,6,8,-0.009892,1.000000,0
B2,6,9,-0.001456,0.621876,0
B2,6,10,-0.012713,1.000000,0
B2,6,11,-0.013845,1.000000,0
B2,7,0,-0.016852,1.000000,0
B2,7,1,-0.013680,1.000000,0
B2,7,2,-0.002185,0.709658,0
B2,7,3,0.003077,0.175165,0
B2,7,4,-0.011788,1.000000,0
B2,7,5,0.008636,0.092382,0
B2,7,6,-0.001576,0.633873,0
B2,7,7,-0.005947,1.000000,0
B2,7,8,-0.003823,0.952809,0
B2,7,9,-0.020283,0.998400,0
B2,7,10,-0.008705,0.996601,0
B2,7,11,-0.006890,0.961808,0
B2,8,0,-0.008609,0.998600,0
B2,8,1,0.003045,0.156369,0
B2,8,2,0.013477,0.002000,1
B2,8,3,0.017881,0.003399,1
B2,8,4,-0.011370,0.999800,0
B2,8,5,-0.000179,0.515097,0
B2,8,6,-0.007146,0.899620,0
B2,8,7,-0.007367,0.993201,0
B2,8,8,0.022330,0.000200,1
B2,8,9,-0.010677,0.986003,0
B2,8,10,0.014450,0.000200,1
B2,8,11,0.002088,0.313337,0
B2,9,0,-0.000853,0.579484,0
B2,9,1,-0.004664,0.824235,0
B2,9,2,0.005142,0.205559,0
B2,9,3,-0.008847,1.000000,0
B2,9,4,0.018454,0.001400,1
B2,9,5,0.014708,0.001200,1
B2,9,6,0.008865,0.069386,0
B2,9,7,0.006527,0.185563,0
B2,9,8,0.004729,0.200560,0
B2,9,9,-0.006705,0.857429,0
B2,9,10,-0.001985,0.623075,0
B2,9,11,-0.002870,0.712857,0
B2,10,0,0.019824,0.003399,1
B2,10,1,-0.004777,0.890622,0
B2,10,2,0.013327,0.040592,0
B2,10,3,0.016612,0.011198,0
B2,10,4,0.010051,0.251550,0
B2,10,5,0.000024,0.045591,0
B2,10,6,0.012781,0.063587,0
B2,10,7,0.015982,0.011398,0
B2,10,8,0.022879,0.002000,1
B2,10,9,-0.020048,1.000000,0
B2,10,10,0.023466,0.001600,1
B2,10,11,0.032429,0.000200,1
B2,11,0,-0.003963,0.849830,0
B2,11,1,0.024903,0.000200,1
B2,11,2,-0.010942,0.994601,0
B2,11,3,-0.017494,0.999800,0
B2,11,4,-0.017322,0.999400,0
B2,11,5,-0.025653,1.000000,0
B2,11,6,-0.014279,1.000000,0
B2,11,7,-0.015133,0.999000,0
B2,11,8,-0.005692,0.881824,0
B2,11,9,-0.009010,0.995801,0
B2,11,10,-0.010124,0.983403,0
B2,11,11,-0.003063,0.951610,0
C,0,0,-0.001864,1.000000,0
C,0,1,0.003914,0.000200,1
C,0,2,-0.000478,1.000000,0
C,0,3,-0.000300,0.990602,0
C,0,4,-0.000235,1.000000,0
C,0,5,-0.002755,0.980204,0
C,0,6,-0.000229,0.741252,0
C,0,7,-0.000741,0.935213,0
C,0,8,-0.000408,1.000000,0
C,0,9,-0.000886,1.000000,0
C,0,10,-0.001019,0.978804,0
C,0,11,0.013668,0.000200,1
C,1,0,0.000450,0.043191,0
C,1,1,-0.000442,0.631674,0
C,1,2,-0.000033,0.994801,0
C,1,3,-0.000711,0.989602,0
C,1,4,-0.023877,1.000000,0
C,1,5,-0.000998,0.996401,0
C,1,6,-0.000487,0.820836,0
C,1,7,0.000017,0.366527,0
C,1,8,0.011331,0.000200,1
C,1,9,0.005755,0.000200,1
C,1,10,0.074225,0.000200,1
C,1,11,-0.001604,1.000000,0
C,2,0,0.001033,0.311338,0
C,2,1,0.003467,0.018196,0
C,2,2,-0.000004,0.507499,0
C,2,3,-0.002555,0.937413,0
C,2,4,0.016655,0.000200,1
C,2,5,0.013391,0.000200,1
C,2,6,0.014840,0.000200,1
C,2,7,0.000165,0.428914,0
C,2,8,-0.000433,1.000000,0
C,2,9,-0.001973,0.909818,0
C,2,10,0.026154,0.000200,1
C,2,11,-0.004809,0.997001,0
C,3,0,-0.000474,1.000000,0
C,3,1,-0.002186,1.000000,0
C,3,2,-0.000011,0.693461,0
C,3,3,-0.000222,0.999200,0
C,3,4,0.000547,0.000200,1
C,3,5,-0.035076,1.000000,0
C,3,6,-0.000950,0.781444,0
C,3,7,0.027453,0.000200,1
C,3,8,-0.003585,1.000000,0
