bedingung,schicht,kopf,delta,p,signifikant_bh
B2,0,4,-0.000075,0.930814,0
B2,0,5,-0.000011,0.581884,0
B2,0,6,0.000155,0.223555,0
B2,0,7,-0.000197,0.996201,0
B2,0,8,-0.001651,1.000000,0
B2,0,9,-0.001139,1.000000,0
B2,0,10,-0.000774,1.000000,0
B2,0,11,-0.001276,1.000000,0
B2,1,0,-0.000502,0.997800,0
B2,1,1,-0.000579,0.996001,0
B2,1,2,-0.000211,1.000000,0
B2,1,3,-0.001094,1.000000,0
B2,1,4,-0.000773,1.000000,0
B2,1,5,-0.001189,0.991802,0
B2,1,6,-0.000729,0.857628,0
B2,1,7,-0.002300,1.000000,0
B2,1,8,-0.000675,0.938212,0
B2,1,9,0.000032,0.486103,0
B2,1,10,-0.000072,1.000000,0
B2,1,11,-0.000437,1.000000,0
B2,2,0,-0.001473,0.962807,0
B2,2,1,-0.007249,0.973805,0
B2,2,2,-0.001086,0.914817,0
B2,2,3,-0.001765,0.998600,0
B2,2,4,-0.002958,0.962607,0
B2,2,5,-0.001140,0.976605,0
B2,2,6,-0.002303,0.947211,0
B2,2,7,-0.001750,0.999000,0
B2,2,8,-0.001705,0.993201,0
B2,2,9,-0.001449,0.995601,0
B2,2,10,-0.000863,1.000000,0
B2,2,11,0.000329,0.155969,0
B2,3,0,0.000533,0.444911,0
B2,3,1,-0.002013,0.925815,0
B2,3,2,0.001194,0.186963,0
B2,3,3,0.003166,0.196561,0
B2,3,4,0.000421,0.450110,0
B2,3,5,0.000815,0.391522,0
B2,3,6,-0.000889,0.802839,0
B2,3,7,0.002002,0.121776,0
B2,3,8,0.002036,0.031394,0
B2,3,9,0.002521,0.127375,0
B2,3,10,0.000146,0.442312,0
B2,3,11,0.001313,0.178164,0
B2,4,0,0.000898,0.366527,0
B2,4,1,-0.000176,0.527694,0
B2,4,2,0.006246,0.018196,0
B2,4,3,-0.002135,0.782444,0
B2,4,4,0.006371,0.000600,1
B2,4,5,-0.002915,0.837632,0
B2,4,6,0.000531,0.373925,0
B2,4,7,-0.000658,0.724455,0
B2,4,8,-0.004788,0.922216,0
B2,4,9,0.004024,0.100980,0
B2,4,10,0.003301,0.100380,0
B2,4,11,-0.000000,0.494701,0
B2,5,0,-0.002897,0.758848,0
B2,5,1,0.000636,0.421916,0
B2,5,2,-0.005800,0.971406,0
B2,5,3,-0.011521,1.000000,0
B2,5,4,-0.004490,0.947011,0
B2,5,5,0.000176,0.487303,0
B2,5,6,-0.001490,0.701060,0
B2,5,7,0.004411,0.090982,0
B2,5,8,0.004158,0.011398,0
B2,5,9,-0.003034,0.813637,0
B2,5,10,0.006296,0.049390,0
B2,5,11,0.001390,0.286943,0
B2,6,0,-0.007739,0.998400,0
B2,6,1,0.000975,0.396121,0
B2,6,2,0.001101,0.297940,0
B2,6,3,-0.005335,0.966607,0
B2,6,4,-0.004934,0.903619,0
B2,6,5,-0.005004,0.998400,0
B2,6,6,0.002570,0.175765,0
B2,6,7,-0.007557,0.996801,0
B2,6,8,-0.007844,0.981804,0
B2,6,9,-0.000310,0.521896,0
B2,6,10,-0.009980,0.997001,0
B2,6,11,-0.002811,0.794841,0
B2,7,0,-0.007848,0.980004,0
B2,7,1,-0.003226,0.690662,0
B2,7,2,-0.005575,0.942212,0
B2,7,3,0.002473,0.213757,0
B2,7,4,-0.000521,0.638872,0
B2,7,5,-0.001780,0.703659,0
B2,7,6,-0.008436,0.996201,0
B2,7,7,-0.009502,0.963007,0
B2,7,8,-0.000429,0.557289,0
B2,7,9,-0.001971,0.676265,0
B2,7,10,-0.000743,0.543691,0
B2,7,11,0.000251,0.470706,0
B2,8,0,0.002374,0.138772,0
B2,8,1,-0.006689,0.934413,0
B2,8,2,0.008931,0.041792,0
B2,8,3,-0.000353,0.529094,0
B2,8,4,-0.001056,0.620676,0
B2,8,5,-0.003547,0.890022,0
B2,8,6,-0.006671,0.926615,0
B2,8,7,-0.001492,0.686863,0
B2,8,8,-0.003673,0.723655,0
B2,8,9,-0.014354,1.000000,0
B2,8,10,0.003797,0.066987,0
B2,8,11,0.005826,0.066587,0
B2,9,0,0.003131,0.313937,0
B2,9,1,-0.007711,0.966607,0
B2,9,2,0.002330,0.347331,0
