bedingung,schicht,kopf,delta,p,signifikant_bh
B2,0,4,0.000023,0.309738,0
B2,0,5,0.000010,0.417117,0
B2,0,6,0.000461,0.007598,0
B2,0,7,-0.000027,0.684263,0
B2,0,8,-0.000673,0.985403,0
B2,0,9,-0.000308,0.976405,0
B2,0,10,-0.000267,0.965607,0
B2,0,11,-0.000621,0.992801,0
B2,1,0,0.000029,0.438112,0
B2,1,1,0.000025,0.467906,0
B2,1,2,0.000014,0.378524,0
B2,1,3,-0.000398,0.905819,0
B2,1,4,-0.000006,0.524695,0
B2,1,5,-0.000378,0.754249,0
B2,1,6,0.000860,0.070386,0
B2,1,7,0.000311,0.248550,0
B2,1,8,-0.000514,0.927814,0
B2,1,9,-0.000200,0.682464,0
B2,1,10,-0.000019,0.907419,0
B2,1,11,-0.000019,0.572486,0
B2,2,0,-0.000745,0.781844,0
B2,2,1,-0.003217,0.823035,0
B2,2,2,0.000498,0.277544,0
B2,2,3,0.000128,0.386323,0
B2,2,4,-0.001091,0.723455,0
B2,2,5,0.000841,0.052789,0
B2,2,6,-0.002957,0.957209,0
B2,2,7,-0.000294,0.729854,0
B2,2,8,-0.000343,0.681664,0
B2,2,9,0.000206,0.358328,0
B2,2,10,-0.000060,0.763447,0
B2,2,11,0.000810,0.005199,0
B2,3,0,0.000466,0.445911,0
B2,3,1,0.001308,0.228354,0
B2,3,2,0.002802,0.014197,0
B2,3,3,0.004387,0.051790,0
B2,3,4,0.001320,0.328134,0
B2,3,5,-0.000070,0.502899,0
B2,3,6,0.000961,0.157568,0
B2,3,7,0.003201,0.031594,0
B2,3,8,0.002413,0.017397,0
B2,3,9,-0.000545,0.592681,0
B2,3,10,0.002472,0.016197,0
B2,3,11,0.000097,0.487902,0
B2,4,0,0.002410,0.226355,0
B2,4,1,0.002652,0.152969,0
B2,4,2,-0.000532,0.553689,0
B2,4,3,-0.000078,0.510098,0
B2,4,4,0.003651,0.086183,0
B2,4,5,0.001398,0.311738,0
B2,4,6,0.001885,0.096981,0
B2,4,7,0.000860,0.201560,0
B2,4,8,-0.004544,0.837832,0
B2,4,9,-0.000998,0.628474,0
B2,4,10,-0.001878,0.789842,0
B2,4,11,0.000000,0.307339,0
B2,5,0,0.001771,0.332733,0
B2,5,1,0.004293,0.104379,0
B2,5,2,-0.001503,0.691862,0
B2,5,3,-0.004093,0.935613,0
B2,5,4,-0.001907,0.746451,0
B2,5,5,0.005687,0.110378,0
B2,5,6,0.000046,0.480504,0
B2,5,7,-0.000709,0.589882,0
B2,5,8,0.005361,0.002799,0
B2,5,9,-0.000134,0.506699,0
B2,5,10,0.004426,0.051590,0
B2,5,11,0.001476,0.279344,0
B2,6,0,0.001510,0.279744,0
B2,6,1,0.002592,0.240352,0
B2,6,2,0.003118,0.084383,0
B2,6,3,-0.000598,0.571286,0
B2,6,4,-0.001612,0.645671,0
B2,6,5,0.000144,0.468906,0
B2,6,6,0.005302,0.044591,0
B2,6,7,-0.001733,0.758648,0
B2,6,8,0.000233,0.460708,0
B2,6,9,0.004164,0.146971,0
B2,6,10,-0.008411,0.945011,0
B2,6,11,0.000956,0.393121,0
B2,7,0,-0.000808,0.568686,0
B2,7,1,-0.002310,0.641472,0
B2,7,2,-0.002049,0.732054,0
B2,7,3,-0.000439,0.552689,0
B2,7,4,0.000630,0.349530,0
B2,7,5,0.003015,0.210758,0
B2,7,6,-0.010571,0.997201,0
B2,7,7,-0.002080,0.644471,0
B2,7,8,-0.000642,0.569486,0
B2,7,9,-0.001392,0.609078,0
B2,7,10,0.000392,0.461308,0
B2,7,11,-0.001474,0.608478,0
B2,8,0,-0.000299,0.548490,0
B2,8,1,-0.000603,0.541692,0
B2,8,2,-0.003322,0.764647,0
B2,8,3,-0.003760,0.762448,0
B2,8,4,-0.001341,0.656269,0
B2,8,5,-0.001030,0.641672,0
B2,8,6,0.001141,0.402120,0
B2,8,7,0.002423,0.241752,0
B2,8,8,-0.008380,0.899420,0
B2,8,9,-0.012512,0.999400,0
B2,8,10,0.006654,0.010998,0
B2,8,11,0.003558,0.156769,0
B2,9,0,0.000648,0.458308,0
B2,9,1,-0.003194,0.713257,0
B2,9,2,-0.003472,0.722655,0
B2,9,3,-0.002921,0.888422,0
B2,9,4,-0.005448,0.913217,0
B2,9,5,0.003171,0.142971,0
B2,9,6,-0.002075,0.658868,0
B2,9,7,0.002038,0.299740,0
B2,9,8,-0.002906,0.648070,0
B2,9,9,-0.003276,0.691462,0
B2,9,10,0.000510,0.425915,0
B2,9,11,-0.000275,0.504699,0
B2,10,0,-0.003307,0.703459,0
B2,10,1,-0.003975,0.726455,0
B2,10,2,-0.003174,0.669466,0
B2,10,3,-0.000665,0.550290,0
B2,10,4,0.004079,0.206159,0
B2,10,5,0.000793,0.349930,0
B2,10,6,-0.005949,0.792841,0
B2,10,7,0.004296,0.226155,0
B2,10,8,-0.005023,0.789442,0
B2,10,9,0.000706,0.385923,0
B2,10,10,-0.002145,0.638672,0
B2,10,11,-0.005189,0.808638,0
B2,11,0,0.000099,0.491502,0
B2,11,1,-0.002411,0.663467,0
B2,11,2,-0.002761,0.666667,0
B2,11,3,-0.010795,0.942412,0
B2,11,4,-0.004627,0.908218,0
B2,11,5,-0.004949,0.788042,0
B2,11,6,-0.003761,0.723055,0
B2,11,7,-0.003837,0.742452,0
B2,11,8,0.000003,0.328534,0
B2,11,9,-0.007654,0.871026,0
B2,11,10,0.000146,0.492302,0
B2,11,11,-0.006078,0.876225,0
C,0,0,0.000109,0.356929,0
C,0,1,0.000015,0.000200,1
C,0,2,-0.000314,0.860828,0
C,0,3,0.000010,0.039192,0
C,0,4,0.000087,0.019596,1
C,0,5,0.000357,0.000200,1
C,0,6,0.000719,0.000400,1
C,0,7,-0.000174,0.998800,0
C,0,8,-0.001006,1.000000,0
C,0,9,-0.000823,1.000000,0
C,0,10,-0.000260,0.980204,0
C,0,11,-0.000324,0.908018,0
C,1,0,0.000187,0.104979,0
C,1,1,-0.000159,0.784643,0
C,1,2,-0.000038,0.832034,0
C,1,3,-0.000525,0.975005,0
C,1,4,-0.000324,0.980004,0
C,1,5,0.003899,0.000200,1
C,1,6,0.000613,0.130374,0
C,1,7,-0.003174,1.000000,0
C,1,8,0.000160,0.296341,0
C,1,9,0.001052,0.004599,1
C,1,10,0.000006,0.326135,0
C,1,11,0.000937,0.000200,1
C,2,0,-0.003060,1.000000,0
C,2,1,-0.041158,1.000000,0
C,2,2,0.008315,0.000200,1
C,2,3,0.001092,0.006399,1
C,2,4,-0.007019,1.000000,0
C,2,5,0.003368,0.000200,1
C,2,6,-0.000384,0.601680,0
C,2,7,0.003309,0.000200,1
C,2,8,-0.001237,0.982204,0
C,2,9,-0.000452,0.806839,0
C,2,10,-0.000072,0.816037,0
C,2,11,0.004486,0.000200,1
C,3,0,0.067103,0.000200,1
C,3,1,0.006868,0.000200,1
C,3,2,0.013822,0.000200,1
C,3,3,0.019999,0.000200,1
C,3,4,0.041287,0.000200,1
C,3,5,-0.035587,1.000000,0
C,3,6,0.004448,0.000200,1
C,3,7,0.012999,0.000200,1
C,3,8,0.008498,0.000200,1
C,3,9,-0.007914,0.999800,0
C,3,10,0.008954,0.000200,1
C,3,11,-0.010122,1.000000,0
C,4,0,0.011981,0.000200,1
C,4,1,0.009126,0.000200,1
C,4,2,-0.030319,1.000000,0
C,4,3,0.014348,0.000200,1
C,4,4,0.042890,0.000200,1
C,4,5,-0.005973,0.996001,0
